run_dir,pred_file,true_file,n,ARI,Purity
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep0\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep1\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep2\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep0\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep1\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep2\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep0\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep1\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep2\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep0\labels.csv,32,1.000000,1.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep1\labels.csv,32,1.000000,1.000000
