run_dir,matrix_file,n,best_k,silhouette,calinski_harabasz,davies_bouldin,objective,n_iter,backend,has_labels,ARI_bestK
C:\ARI_Dashboard\Essaie,C:\ARI_Dashboard\Essaie\wmfd\trees_wmfd_matrix.csv,30,3,0.119283,5.542915,1.622365,12.686463,3,fallback PAM (pure Python),no,
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep0\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.138524,3.415171,1.512990,12.710897,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep1\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.078275,3.765538,1.853125,12.510136,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p0drop_rep2\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.137765,4.450275,1.579280,13.337811,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep0\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.095765,2.647149,1.645341,14.112932,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep1\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.070882,3.452226,1.802808,13.942627,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p10drop_rep2\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.105633,2.896993,1.654920,15.068340,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep0\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.027468,2.145269,1.858369,16.287008,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep1\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.027341,1.993297,2.042681,16.403400,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p25drop_rep2\wmfd\trees_noisy_wmfd_matrix.csv,32,2,0.069722,2.893972,1.654270,16.771752,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep0\wmfd\trees_wmfd_matrix.csv,32,2,0.138524,3.415171,1.512990,12.710897,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep1\wmfd\trees_wmfd_matrix.csv,32,2,0.078275,3.765538,1.853125,12.510136,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p50drop_rep2\wmfd\trees_wmfd_matrix.csv,32,2,0.137765,4.450275,1.579280,13.337811,2,fallback PAM (pure Python),yes,0.000000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p75drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k1L100_n32_plev30_p75drop_rep0\wmfd\trees_noisy_wmfd_matrix.csv,32,4,0.014569,1.784290,1.704509,20.579899,2,fallback PAM (pure Python),yes,0.000000
