id_i,id_j,dist
1.1,1.2,0.44822883
1.1,1.3,0.44033898
1.1,1.4,0.53348485
1.1,1.5,0.56133510
1.1,1.6,0.33319970
1.1,1.7,0.48729897
1.1,1.8,0.47917768
1.1,1.9,0.29147601
1.1,1.10,0.50805324
1.1,2.1,1.01927161
1.1,2.2,0.92439476
1.1,2.3,0.96861414
1.1,2.4,0.85933330
1.1,2.5,1.12383622
1.1,2.6,1.12273500
1.1,2.7,0.89031993
1.1,2.8,0.86856246
1.1,2.9,0.98415001
1.1,2.10,1.13484275
1.1,3.1,0.54596782
1.1,3.2,0.65324306
1.1,3.3,0.76142358
1.1,3.4,0.55238834
1.1,3.5,0.47526702
1.1,3.6,0.61789446
1.1,3.7,0.58445816
1.1,3.8,0.55915285
1.1,3.9,0.59760355
1.1,3.10,0.76856529
1.2,1.3,0.45869833
1.2,1.4,0.38827395
1.2,1.5,0.46378748
1.2,1.6,0.49300566
1.2,1.7,0.35240843
1.2,1.8,0.41349504
1.2,1.9,0.50379061
1.2,1.10,0.37068162
1.2,2.1,0.83348685
1.2,2.2,0.88311798
1.2,2.3,0.83388495
1.2,2.4,0.82836622
1.2,2.5,0.96761212
1.2,2.6,0.88331453
1.2,2.7,0.87752636
1.2,2.8,0.88518944
1.2,2.9,0.92669019
1.2,2.10,0.88769211
1.2,3.1,0.54114876
1.2,3.2,0.48315610
1.2,3.3,0.62380659
1.2,3.4,0.62466282
1.2,3.5,0.66810502
1.2,3.6,0.65781356
1.2,3.7,0.43244343
1.2,3.8,0.41816597
1.2,3.9,0.44501872
1.2,3.10,0.65542059
1.3,1.4,0.52307809
1.3,1.5,0.55183926
1.3,1.6,0.36491289
1.3,1.7,0.54901219
1.3,1.8,0.52710716
1.3,1.9,0.37644041
1.3,1.10,0.45405691
1.3,2.1,0.97200046
1.3,2.2,1.04307893
1.3,2.3,0.97291603
1.3,2.4,0.85789445
1.3,2.5,1.13272511
1.3,2.6,1.04961941
1.3,2.7,0.79720597
1.3,2.8,0.86059187
1.3,2.9,0.97610101
1.3,2.10,1.02226137
1.3,3.1,0.55319914
1.3,3.2,0.65420980
1.3,3.3,0.78682984
1.3,3.4,0.67513629
1.3,3.5,0.64086325
1.3,3.6,0.65537215
1.3,3.7,0.52498830
1.3,3.8,0.60470065
1.3,3.9,0.59530856
1.3,3.10,0.74301354
1.4,1.5,0.38703665
1.4,1.6,0.61831896
1.4,1.7,0.38833042
1.4,1.8,0.40631290
1.4,1.9,0.55648980
1.4,1.10,0.41888432
1.4,2.1,0.93685733
1.4,2.2,0.88966076
1.4,2.3,0.82295357
1.4,2.4,1.00201041
1.4,2.5,0.78860612
1.4,2.6,0.83505603
1.4,2.7,0.98694816
1.4,2.8,1.05593983
1.4,2.9,0.86966929
1.4,2.10,0.76251138
1.4,3.1,0.69134226
1.4,3.2,0.65899800
1.4,3.3,0.64950864
1.4,3.4,0.66222370
1.4,3.5,0.73726897
1.4,3.6,0.71748404
1.4,3.7,0.51436267
1.4,3.8,0.54087804
1.4,3.9,0.54440558
1.4,3.10,0.62999836
1.5,1.6,0.59663682
1.5,1.7,0.42413118
1.5,1.8,0.55295291
1.5,1.9,0.51787836
1.5,1.10,0.48164756
1.5,2.1,0.89548192
1.5,2.2,0.91106212
1.5,2.3,0.80142180
1.5,2.4,0.96797777
1.5,2.5,0.96592019
1.5,2.6,0.95571926
1.5,2.7,1.00379299
1.5,2.8,1.01016791
1.5,2.9,0.92126710
1.5,2.10,0.95501141
1.5,3.1,0.73522747
1.5,3.2,0.57103368
1.5,3.3,0.61616887
1.5,3.4,0.75650897
1.5,3.5,0.77389800
1.5,3.6,0.68894505
1.5,3.7,0.43429890
1.5,3.8,0.55925698
1.5,3.9,0.56700361
1.5,3.10,0.68012931
1.6,1.7,0.53654895
1.6,1.8,0.47891781
1.6,1.9,0.36306916
1.6,1.10,0.52001995
1.6,2.1,1.12409637
1.6,2.2,1.00796871
1.6,2.3,1.05740054
1.6,2.4,0.87865599
1.6,2.5,1.26322979
1.6,2.6,1.22745201
1.6,2.7,0.95533957
1.6,2.8,0.88540617
1.6,2.9,1.06300778
1.6,2.10,1.23110864
1.6,3.1,0.68478746
1.6,3.2,0.63342004
1.6,3.3,0.83067756
1.6,3.4,0.71382453
1.6,3.5,0.55059941
1.6,3.6,0.65861677
1.6,3.7,0.56935764
1.6,3.8,0.62881738
1.6,3.9,0.66608119
1.6,3.10,0.77991361
1.7,1.8,0.40915369
1.7,1.9,0.50928883
1.7,1.10,0.47031865
1.7,2.1,0.93642506
1.7,2.2,0.73290058
1.7,2.3,0.72423024
1.7,2.4,0.95297943
1.7,2.5,0.88042655
1.7,2.6,0.87162939
1.7,2.7,0.97062771
1.7,2.8,1.00776196
1.7,2.9,0.81388172
1.7,2.10,0.86509111
1.7,3.1,0.65442197
1.7,3.2,0.56340016
1.7,3.3,0.61431983
1.7,3.4,0.69193460
1.7,3.5,0.68279005
1.7,3.6,0.69581451
1.7,3.7,0.45290033
1.7,3.8,0.50225081
1.7,3.9,0.50994820
1.7,3.10,0.63642735
1.8,1.9,0.50336683
1.8,1.10,0.51980213
1.8,2.1,1.04369887
1.8,2.2,0.92036801
1.8,2.3,0.79348772
1.8,2.4,1.04549074
1.8,2.5,0.96035287
1.8,2.6,0.97686888
1.8,2.7,1.10377833
1.8,2.8,1.09248815
1.8,2.9,0.89830553
1.8,2.10,0.85750201
1.8,3.1,0.75063778
1.8,3.2,0.65596938
1.8,3.3,0.68863349
1.8,3.4,0.65373585
1.8,3.5,0.76472965
1.8,3.6,0.69475385
1.8,3.7,0.50183631
1.8,3.8,0.53596211
1.8,3.9,0.54478309
1.8,3.10,0.62761152
1.9,1.10,0.50360171
1.9,2.1,0.99143656
1.9,2.2,0.99153212
1.9,2.3,0.93766873
1.9,2.4,0.78497248
1.9,2.5,1.16893166
1.9,2.6,1.06409439
1.9,2.7,0.86069819
1.9,2.8,0.91978830
1.9,2.9,0.98963095
1.9,2.10,1.09287737
1.9,3.1,0.56944796
1.9,3.2,0.63744598
1.9,3.3,0.74172178
1.9,3.4,0.61404699
1.9,3.5,0.62097848
1.9,3.6,0.56147614
1.9,3.7,0.57007105
1.9,3.8,0.62677219
1.9,3.9,0.58839465
1.9,3.10,0.68582501
1.10,2.1,0.98913706
1.10,2.2,1.04562313
1.10,2.3,0.90319815
1.10,2.4,0.93186255
1.10,2.5,1.10416059
1.10,2.6,0.96304671
1.10,2.7,0.96643833
1.10,2.8,0.93007050
1.10,2.9,0.97466363
1.10,2.10,1.00048203
1.10,3.1,0.57708277
1.10,3.2,0.66143245
1.10,3.3,0.75904266
1.10,3.4,0.65772278
1.10,3.5,0.73914661
1.10,3.6,0.66934594
1.10,3.7,0.46698245
1.10,3.8,0.54908751
1.10,3.9,0.53185563
1.10,3.10,0.68697098
2.1,2.2,0.74647837
2.1,2.3,0.84014207
2.1,2.4,0.77426511
2.1,2.5,0.80847070
2.1,2.6,0.63595039
2.1,2.7,0.66217842
2.1,2.8,0.80217334
2.1,2.9,0.71289171
2.1,2.10,0.74942068
2.1,3.1,0.84739554
2.1,3.2,0.68171892
2.1,3.3,0.73798795
2.1,3.4,0.91254875
2.1,3.5,1.01964118
2.1,3.6,0.81166649
2.1,3.7,0.87380661
2.1,3.8,0.93813609
2.1,3.9,0.89433461
2.1,3.10,0.79407416
2.2,2.3,0.78211636
2.2,2.4,0.69659076
2.2,2.5,0.59006226
2.2,2.6,0.77345554
2.2,2.7,0.71296646
2.2,2.8,0.69331419
2.2,2.9,0.66429807
2.2,2.10,0.74161855
2.2,3.1,0.77677156
2.2,3.2,0.87274919
2.2,3.3,0.71002233
2.2,3.4,0.89298887
2.2,3.5,0.80141705
2.2,3.6,0.85695080
2.2,3.7,0.88785563
2.2,3.8,0.76901584
2.2,3.9,0.90018552
2.2,3.10,0.88685713
2.3,2.4,0.95161671
2.3,2.5,0.80977768
2.3,2.6,0.79492105
2.3,2.7,0.93765981
2.3,2.8,1.01439366
2.3,2.9,0.71857725
2.3,2.10,0.86601674
2.3,3.1,0.76300283
2.3,3.2,0.74570533
2.3,3.3,0.61597143
2.3,3.4,0.69304123
2.3,3.5,0.87652262
2.3,3.6,0.76573947
2.3,3.7,0.78169878
2.3,3.8,0.81347771
2.3,3.9,0.80103887
2.3,3.10,0.66525961
2.4,2.5,0.89561751
2.4,2.6,0.86034356
2.4,2.7,0.50519519
2.4,2.8,0.45146942
2.4,2.9,0.85622776
2.4,2.10,0.90135858
2.4,3.1,0.65788216
