Tree_Pair,Common_Nodes,Uncommon_Nodes,Total_Nodes,Penalty,Normalized_Common_Weight,Normalized_Uncommon_Weight,Normalized_Common_BL,Normalized_Uncommon_BL,Normalized_Common_Height,Normalized_Uncommon_Height,Normalized_Common_Degree,Normalized_Uncommon_Degree,Normalized_Hamming_Distance
"(T_1,T_2)",24,5,29,0.1724,0.2522,0.85,0.4514,0.8,0.2533,1,0.239,0,0.6078
"(T_1,T_3)",26,3,29,0.1034,0.2155,1,0.3013,0.8333,0.4506,1,0.311,0,0.7736
"(T_1,T_4)",23,6,29,0.2069,0.2766,0.75,0.2971,0.75,0.2361,1,0.2606,0,0.56
"(T_1,T_5)",23,6,29,0.2069,0.2236,0.75,0.3623,0.75,0.1806,1,0.3211,0,0.52
"(T_1,T_6)",20,9,29,0.3103,0.2611,0.7593,0.375,0.6852,0.1508,0.963,0.2318,0.1111,0.5319
"(T_1,T_7)",27,2,29,0.069,0.3353,1,0.3086,1,0.3393,1,0.3762,0,0.8148
"(T_1,T_8)",17,12,29,0.4138,0.358,0.7222,0.3529,0.6806,0.5463,0.9444,0.4563,0.1667,0.9545
"(T_1,T_9)",17,12,29,0.4138,0.2631,0.7222,0.4118,0.6806,0.2353,0.9487,0.1348,0.1667,0.5455
"(T_1,T_10)",24,5,29,0.1724,0.2367,0.85,0.2292,0.8,0.36,1,0.2913,0,0.7255
"(T_2,T_3)",24,2,26,0.0769,0.2169,0.75,0.2986,1,0.5267,0.9167,0.3259,0,0.75
"(T_2,T_4)",23,1,24,0.0417,0.2149,0.5,0.3333,0.5,0.1667,0.6667,0.2199,0,0.3778
"(T_2,T_5)",23,1,24,0.0417,0.2258,0.5,0.1812,0.5,0.25,0.6667,0.363,0,0.6
"(T_2,T_6)",20,4,24,0.1667,0.3813,0.3083,0.35,0.625,0.1825,0.75,0.2133,0.25,0.5238
"(T_2,T_7)",24,3,27,0.1111,0.3271,0.75,0.2361,0.8333,0.1533,0.75,0.3157,0,0.5102
"(T_2,T_8)",17,7,24,0.2917,0.3256,0.4476,0.2353,0.5714,0.5463,0.7619,0.3201,0.1429,0.7949
"(T_2,T_9)",17,7,24,0.2917,0.2991,0.4476,0.2941,0.5714,0.1765,0.7917,0.1634,0.1429,0.4872
"(T_2,T_10)",24,0,24,0,0.2444,0,0.3056,0,0.2267,1,0.2671,0,0.5217
"(T_3,T_4)",23,3,24,0.1154,0.1702,0.5833,0.2391,0.8333,0.6042,0.9333,0.2208,0,0.6596
"(T_3,T_5)",23,3,24,0.1154,0.152,0.5833,0.1739,0.8333,0.4931,0.9333,0.3828,0,0.7021
"(T_3,T_6)",20,6,24,0.2308,0.2345,0.4139,0.25,0.7222,0.5714,0.875,0.1777,0.1667,0.5455
"(T_3,T_7)",26,1,25,0.037,0.3201,1,0.2308,1,0.3929,0.8333,0.394,0,0.6863
"(T_3,T_8)",17,9,24,0.3462,0.4258,0.3907,0.1176,0.6481,0.3148,0.8182,0.4954,0.1111,0.9024
"(T_3,T_9)",17,9,24,0.3462,0.3073,0.3907,0.1765,0.6481,0.7549,0.8333,0.2575,0.1111,0.8537
"(T_3,T_10)",24,2,23,0.0769,0.1109,0.75,0.1597,1,0.4167,0.8889,0.2949,0,0.625
"(T_4,T_5)",23,0,23,0,0.2559,0,0.1957,0,0.2083,0,0.2873,0,0.4545
"(T_4,T_6)",20,3,23,0.1304,0.3492,0.2444,0.2,0.4444,0.1508,0.6667,0.1762,0,0.4146
"(T_4,T_7)",23,4,27,0.1481,0.2308,0.8125,0.2391,0.875,0.2569,0.7333,0.2972,0.25,0.5417
"(T_4,T_8)",17,6,23,0.2609,0.4711,0.2944,0.1176,0.6389,0.6759,0.6667,0.4412,0,1
"(T_4,T_9)",17,6,23,0.2609,0.2731,0.2944,0.1765,0.6389,0.1373,0.7143,0.1785,0,0.4211
"(T_4,T_10)",23,1,24,0.0417,0.1772,0.25,0.1884,0.5,0.1944,0.8333,0.203,0,0.3778
"(T_5,T_6)",20,3,23,0.1304,0.3416,0.2444,0.225,0.4444,0.119,0.6667,0.2125,0,0.4146
"(T_5,T_7)",23,4,27,0.1481,0.3381,0.8125,0.1739,0.875,0.3403,0.7333,0.3379,0.25,0.7083
"(T_5,T_8)",17,6,23,0.2609,0.4515,0.5056,0.0588,0.5556,0.4907,0.7778,0.4594,0.1111,0.8947
"(T_5,T_9)",17,6,23,0.2609,0.2605,0.5056,0.1176,0.5556,0.2157,0.8095,0.3144,0.1111,0.5789
"(T_5,T_10)",23,1,24,0.0417,0.2278,0.25,0.2101,0.5,0.2222,0.8333,0.2872,0,0.5111
"(T_6,T_7)",20,7,27,0.2593,0.313,0.6643,0.25,0.7619,0.2857,0.7917,0.1844,0.2857,0.6
"(T_6,T_8)",17,3,20,0.15,0.448,0.4778,0.1765,0.5,0.5556,0.6667,0.3172,0,0.8857
"(T_6,T_9)",17,3,20,0.15,0.3766,0.4778,0.2353,0.5,0.2059,0.75,0.1722,0,0.5429
"(T_6,T_10)",20,4,24,0.1667,0.2508,0.2458,0.3,0.5417,0.2619,0.7333,0.2261,0,0.5714
"(T_7,T_8)",17,10,27,0.3704,0.3795,0.6183,0.1176,0.6833,0.5556,0.7879,0.2891,0.3,0.8095
"(T_7,T_9)",17,10,27,0.3704,0.2472,0.6183,0.1765,0.6833,0.2647,0.8056,0.1833,0.3,0.5238
"(T_7,T_10)",24,3,25,0.1111,0.291,0.75,0.1806,0.8333,0.2115,0.6667,0.3403,0,0.5102
"(T_8,T_9)",17,0,17,0,0.4274,0,0.0588,0,0.6373,1,0.3215,0,0.8125
"(T_8,T_10)",17,7,24,0.2917,0.4646,0.2881,0.1765,0.5238,0.4907,0.75,0.4165,0.1429,0.8974
"(T_9,T_10)",17,7,24,0.2917,0.3021,0.2881,0.2353,0.5238,0.2745,0.7778,0.1539,0.1429,0.5385
