Original Weights:
Node,Tree 1,Tree 2,Tree 3,Tree 4,Tree 5,Tree 6,Tree 7
seq1,    7.0000,  115.0000,  111.0000,    0.0000,    0.0000,    0.0000,    0.0000
seq10,    0.0000,   25.0000,   22.0000,    0.0000,    0.0000,    0.0000,    0.0000
seq100,    0.0000,    0.0000,    0.0000,    1.0000,    5.0000,    0.0000,    0.0000
seq101,    0.0000,    0.0000,    0.0000,    1.0000,    6.0000,    0.0000,    0.0000
seq102,    0.0000,    0.0000,    0.0000,    3.0000,   16.0000,    0.0000,    0.0000
seq103,    0.0000,    0.0000,    0.0000,    5.0000,   13.0000,    0.0000,    0.0000
seq104,   30.0000,   19.0000,   16.0000,   23.0000,   13.0000,   27.0000,   35.0000
seq105,   59.0000,   48.0000,    0.0000,   58.0000,   47.0000,   48.0000,   69.0000
seq106,    5.0000,    3.0000,    0.0000,    3.0000,    4.0000,    2.0000,    9.0000
seq107,   68.0000,   51.0000,   61.0000,   57.0000,   56.0000,   70.0000,   85.0000
seq108,   37.0000,   25.0000,   32.0000,   27.0000,   17.0000,   29.0000,   34.0000
seq109,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    5.0000
seq11,    0.0000,   14.0000,   19.0000,    0.0000,    0.0000,    0.0000,    0.0000
seq110,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq111,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    3.0000
seq112,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    3.0000
seq113,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    6.0000
seq114,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    8.0000
seq115,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   11.0000,    2.0000
seq116,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq117,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq118,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    5.0000,    1.0000
seq119,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq12,    7.0000,   43.0000,   41.0000,    0.0000,    0.0000,    0.0000,    0.0000
seq120,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    5.0000
seq121,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    5.0000,    1.0000
seq122,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    1.0000
seq123,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq124,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    4.0000
seq125,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    9.0000
seq126,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,   15.0000
seq127,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq128,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    3.0000,    1.0000
seq129,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    3.0000
seq13,   14.0000,   50.0000,   35.0000,    0.0000,    0.0000,    0.0000,    0.0000
seq130,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    4.0000
seq131,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    2.0000
seq132,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq133,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   10.0000,    4.0000
seq134,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.0000,    2.0000
seq135,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000
seq136,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    4.0000,    1.0000
